index,candidatura,nombre,nombre_completo,numero,partido,siglas,suplente,gender
184,4,Izaskun, Izaskun Bilbao Barandica (EAJ-PNV).,2,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
185,4,Francesc, Francesc de P. Gambús i Millet (CiU).,3,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
186,4,Jose, José Javier Morales Febles (CCa-PNC).,4,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
187,4,Mireia, Mireia Canals i Botines (CiU).,5,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
188,4,Paulo, Paulo Carlos López López (CxG).,6,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
189,4,Izaskun, Izaskun Goñi Razquin (EAJ-PNV).,7,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
190,4,Monserrat, Monserrat Aymamí i Viadé (CiU).,8,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
191,4,David, David Fernando Baso Díaz (CCa-PNC).,9,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
192,4,Marta, Marta Canós i Solé (CiU).,10,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
193,4,Xabier, Xabier Ezeizabarrena Saenz (EAJ-PNV).,11,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
194,4,Luca, Luca Bellizzi i Cerri (CiU).,12,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
195,4,Maria, María Beatriz Acosta Guerra (CCa-PNC).,13,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
196,4,Olga, Olga Ortiz i Moreno (CiU).,14,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
197,4,Oscar, Óscar Carballo Iglesias (CxG).,15,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
198,4,Idoia, Idoia Goiri Zamora (EAJ-PNV).,16,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
199,4,Carmen, Carmen Dolores Morales Rodríguez (CCa-PNC).,17,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
200,4,Gerard, Gerard Vidal i Pallarès (CiU).,18,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
201,4,Josep, Josep Maria Llop i Rigol (CiU).,19,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
202,4,Jordi, Jordi Agràs i Estalella (CiU).,20,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
203,4,Jose, José Carmelo Afonso Ramírez (CCa-PNC).,21,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
204,4,Marti, Martí Pujals i Castelló (CiU).,22,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
205,4,Inmaculada, Inmaculada López Silva (CxG).,23,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
206,4,Joseba, Joseba Koldobika Bilbao Uriarte (EAJ-PNV).,24,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
207,4,Lidia, Lídia Aixalà i Coll (CiU).,25,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
208,4,Simo, Simó Schwartz i Riera (CiU).,26,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
209,4,Adargoma, Adargoma Hernandéz Rodríguez (CCa-PNC).,27,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
210,4,Eider, Eider Mendoza Larrañaga (EAJ-PNV).,28,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
211,4,Pilar, Pilar Giró i Román (CiU).,29,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
212,4,Miguel, Miguel Garay Rodríguez de Mendarozqueta (EAJ-PNV).,30,COALICIÓN POR EUROPA (CEU),CEU,False,-1.0
213,4,Idoia, Idoia Sagastizabal Unzetabarrenetxea (EAJ-PNV).,31,COALICIÓN POR EUROPA (CEU),CEU,False,1.0
